BEER STYLE BREWERY PRICE KEG_LT PINT
STONE  IPA STONE 180 30 473
BORDER BIS BRODER_PSYCHO 95 20 355
BREWNOS WTIBIER BREWNOS 76 20 355
CITROIT APA MOTOR 79 30 355
FRAMBUESA FRUIT_ALE BREWNOS 78 20 355
SCULPIN IPA BALLAS_POINT 120 30 473
HAZY_DREAMS HAZY_IPA ABNORMAL 170 30 588
MALTA_FINA AMBER_ALE MALTA_FINA 75 20 355
PLAZA_MAFIA NEIPA MADUEÑO 100 30 588
PRINCIPIA AMERICAN_WHEAT PRINCIPIA 86 20 473
ROGUE NEIPA ROGUE 160 30 473
BRUER CREAM_ALE BRUER 85 20 355
CYPREZ IS CYPREZ 93 20 355
VAQUITA_MARNA PALE_ALE WENDLANT 92 20 473
SUSSY  OPA WENDLANT 90 20 355
CAN-O-BLIS DIPA OSKAR_BLUES 142 30 588
FANCY_PAPERS HAZY_IPA CIGAR_CITY 140 20 588
MATRIOSHKA GOSE CERVECEROS_ARELLANO 80 30 473
INFRARED UNFILTERED_IPA PRINCIPIA 97 30 473
CUASAR IPL PRINCIPIA 87 20 473
CARDERA LAGER CARDERA 83 20 355
